fecha,close,emisor
2016-09-01,19566.94921875,GRUPONUTRESA
2016-09-02,19581.94140625,GRUPONUTRESA
2016-09-05,19551.98046875,GRUPONUTRESA
2016-09-06,19551.98046875,GRUPONUTRESA
2016-09-07,19522.01953125,GRUPONUTRESA
2016-09-08,19522.01953125,GRUPONUTRESA
2016-09-09,19480.595703125,GRUPONUTRESA
2016-09-12,19000.33203125,GRUPONUTRESA
2016-09-13,19000.33203125,GRUPONUTRESA
2016-09-14,18775.20703125,GRUPONUTRESA
2016-09-15,18925.28515625,GRUPONUTRESA
2016-09-16,18985.314453125,GRUPONUTRESA
2016-09-19,19360.5234375,GRUPONUTRESA
2016-09-20,19360.5234375,GRUPONUTRESA
2016-09-21,19330.505859375,GRUPONUTRESA
2016-09-22,19195.439453125,GRUPONUTRESA
2016-09-23,19285.478515625,GRUPONUTRESA
2016-09-26,19135.3984375,GRUPONUTRESA
2016-09-27,19135.3984375,GRUPONUTRESA
2016-09-28,18985.314453125,GRUPONUTRESA
2016-09-29,19240.46484375,GRUPONUTRESA
2016-09-30,19105.384765625,GRUPONUTRESA
2016-10-03,19075.365234375,GRUPONUTRESA
2016-10-04,19075.365234375,GRUPONUTRESA
2016-10-05,19135.3984375,GRUPONUTRESA
2016-10-06,19300.494140625,GRUPONUTRESA
2016-10-07,19195.439453125,GRUPONUTRESA
2016-10-10,19060.361328125,GRUPONUTRESA
2016-10-11,19094.041015625,GRUPONUTRESA
2016-10-12,19169.208984375,GRUPONUTRESA
2016-10-13,18898.5859375,GRUPONUTRESA
2016-10-14,19154.181640625,GRUPONUTRESA
2016-10-17,19063.966796875,GRUPONUTRESA
2016-10-18,19018.861328125,GRUPONUTRESA
2016-10-19,19018.861328125,GRUPONUTRESA
2016-10-20,19048.9375,GRUPONUTRESA
2016-10-21,19048.9375,GRUPONUTRESA
2016-10-24,18928.65625,GRUPONUTRESA
2016-10-25,18928.65625,GRUPONUTRESA
2016-10-26,19018.861328125,GRUPONUTRESA
2016-10-27,18988.78515625,GRUPONUTRESA
2016-10-28,19063.966796875,GRUPONUTRESA
2016-10-31,18928.65625,GRUPONUTRESA
2016-11-01,18928.65625,GRUPONUTRESA
2016-11-02,18793.34375,GRUPONUTRESA
2016-11-03,18883.556640625,GRUPONUTRESA
2016-11-04,18507.69140625,GRUPONUTRESA
2016-11-07,18432.51171875,GRUPONUTRESA
2016-11-08,18451.189453125,GRUPONUTRESA
2016-11-09,18451.189453125,GRUPONUTRESA
2016-11-10,18330.701171875,GRUPONUTRESA
2016-11-11,18074.63671875,GRUPONUTRESA
2016-11-14,17848.705078125,GRUPONUTRESA
2016-11-15,17773.390625,GRUPONUTRESA
2016-11-16,17924.017578125,GRUPONUTRESA
2016-11-17,17924.017578125,GRUPONUTRESA
2016-11-18,18074.63671875,GRUPONUTRESA
2016-11-21,17924.017578125,GRUPONUTRESA
2016-11-22,17908.947265625,GRUPONUTRESA
2016-11-23,17908.947265625,GRUPONUTRESA
2016-11-24,17924.017578125,GRUPONUTRESA
2016-11-25,17637.82421875,GRUPONUTRESA
2016-11-28,17547.458984375,GRUPONUTRESA
2016-11-29,17185.955078125,GRUPONUTRESA
2016-11-30,17216.08984375,GRUPONUTRESA
2016-12-01,17336.587890625,GRUPONUTRESA
2016-12-02,17562.517578125,GRUPONUTRESA
2016-12-05,17457.0859375,GRUPONUTRESA
2016-12-06,17577.576171875,GRUPONUTRESA
2016-12-07,17698.08203125,GRUPONUTRESA
2016-12-08,17698.08203125,GRUPONUTRESA
2016-12-09,17958.255859375,GRUPONUTRESA
2016-12-12,18184.61328125,GRUPONUTRESA
2016-12-13,18350.6171875,GRUPONUTRESA
2016-12-14,18395.892578125,GRUPONUTRESA
2016-12-15,18395.892578125,GRUPONUTRESA
2016-12-16,18471.341796875,GRUPONUTRESA
2016-12-19,18607.162109375,GRUPONUTRESA
2016-12-20,18803.345703125,GRUPONUTRESA
2016-12-21,18788.2578125,GRUPONUTRESA
2016-12-22,18848.615234375,GRUPONUTRESA
2016-12-23,18833.529296875,GRUPONUTRESA
2016-12-26,18833.529296875,GRUPONUTRESA
2016-12-27,18803.345703125,GRUPONUTRESA
2016-12-28,18788.2578125,GRUPONUTRESA
2016-12-29,18788.2578125,GRUPONUTRESA
2016-12-30,18788.2578125,GRUPONUTRESA
2017-01-02,18788.2578125,GRUPONUTRESA
2017-01-03,18742.978515625,GRUPONUTRESA
2017-01-04,18848.615234375,GRUPONUTRESA
2017-01-05,18908.982421875,GRUPONUTRESA
2017-01-06,18833.529296875,GRUPONUTRESA
2017-01-09,18833.529296875,GRUPONUTRESA
2017-01-10,18791.8046875,GRUPONUTRESA
2017-01-11,18791.8046875,GRUPONUTRESA
2017-01-12,18716.212890625,GRUPONUTRESA
2017-01-13,18610.38671875,GRUPONUTRESA
2017-01-16,18459.205078125,GRUPONUTRESA
2017-01-17,18413.85546875,GRUPONUTRESA
2017-01-18,18308.021484375,GRUPONUTRESA
2017-01-19,18338.2578125,GRUPONUTRESA
2017-01-20,18141.73046875,GRUPONUTRESA
2017-01-23,18277.791015625,GRUPONUTRESA
2017-01-24,18292.90625,GRUPONUTRESA
2017-01-25,18444.080078125,GRUPONUTRESA
2017-01-26,18338.2578125,GRUPONUTRESA
2017-01-27,18595.265625,GRUPONUTRESA
2017-01-30,18398.7265625,GRUPONUTRESA
2017-01-31,18187.076171875,GRUPONUTRESA
2017-02-01,18066.134765625,GRUPONUTRESA
2017-02-02,18217.314453125,GRUPONUTRESA
